title,instructions,ingredients
Singapore Noodles in Lettuce Leaves,"Heat a wok or large heavy skillet over high heat until very hot. Add the oil and heat until very hot, about 30 seconds. Add the seasonings and stir-fry until fragrant, about 10 seconds.
Add the red onions and stir fry until just tender, about 2 minutes. Add the red peppers and toss lightly for a minute, then add the cabbage and continue cooking until the vegetables are crisp-tender, about 3 minutes. Add the sauce mixture and the softened noodles and carefully toss to blend. Cook until the noodles are tender, about a minute, then transfer the noodles to a serving dish.
To eat, spoon some of the noodle mixture onto a lettuce leaf, roll it up, tucking in the edges, and eat with your fingers.","['2 tablespoons safflower oil or 2 tablespoons corn oil', '1 1/2 tablespoons minced ginger', '1 tablespoon peeled and minced fresh ginger', '1 1/2 tablespoons curry powder, preferably Madras curry', '2 1/2 cups very thinly sliced red onions (about 2 onions)', '2 cups thin julienne strips red bell peppers (about 2 medium-size peppers)', '3 cups cored and thinly sliced Chinese cabbage (napa)', '1/4 cup water', '3 tablespoons soy sauce', '1 teaspoon salt', '1/2 teaspoon sugar', '1/4 teaspoon fresh ground black pepper', '1/3 lb thin rice stick noodles or 1/3 lb vermicelli, softened in hot water and drained', '2 heads boston lettuce, cores trimmed, leaves separated, pressed to flatten, rinsed, and arranged around the edges of a serv']"
Coconut Curd | Kaya(Singapore),"Whisk the sugar, yolks and coconut milk and then strain into a heatproof bowl.
Place the bowl over a pot of rapidly simmering water (don’t let the water touch the bottom of the bowl). Stir often until the curd starts to thicken.
Once the curd is a bit thicker, you can stir a little less often.
Cook about 45 minutes to an hour, or until thick enough to coat the back of a spoon without running together.
Tip: If the custard doesn’t seem to be thickening after 10-20 minutes, try increasing the heat.
Cool and keep refrigerated. The curd will thicken as it cools.","['1 (13 1/2 ounce) can coconut milk (not light)', '3 egg yolks', '3/4 cup sugar']"
Singapore Noodles With Ground Beef and Chickpeas,"Prepare the rice vermicelli according to package directions; set aside.
In a large skillet over medium heat cook the ground beef with green onions, jalapeno pepper (if using) carrots, bell pepper, ginger, garlic and curry powder until the meat is completely cooked through (about 15 minutes) drain fat.
Add in beef broth, soy sauce, chili paste and sugar; bring to a boil over medium heat stirring and simmer for 5 minutes.
Season with black pepper to taste and salt if desired.
Reduce heat to low and add in the cooked noodles and chickpeas; toss to combine until heated through.
Sprinkle with green onions.","['6 ounces rice vermicelli (or use angel hair pasta broken in half)', '1 lb extra lean ground beef', '1 -2 tablespoon fresh minced garlic', '5 green onions, chopped', '1 jalapeno pepper (seeded and chopped) (optional)', '1 large carrot (peeled and diced)', '1 small red bell pepper (seeded and chopped)', '1 tablespoon grated gingerroot', '1 tablespoon curry powder (hot or mild)', '1/2 cup beef broth', '2 tablespoons low sodium soy sauce', '1/2-1 teaspoon hot chili paste (or 2 tablespoons Asian chili sauce)', '1 teaspoon sugar', '1 (19 ounce) can chickpeas (rinsed and drained)', 'black pepper', 'salt (optional)', 'chopped green onion (optional)']"
Best Beef Singapore Sates,"Cut the steaks, including the fat, into 1/2-inch cubes and place them in a ziplock bag. Stir together the brown sugar, coriander, turmeric, cumin, pepper, fish sauce and oil. Pour over the beef cubes the marinade mixture and massage contents to coat evenly. Refrigerator for at least 2 hours; the longer it marinates, the richer the flavor will be.
Drain the cubes of beef, discarding the marinade. Season with salt. Thread the beef onto bamboo skewers, leaving the bottom half of each skewer bare for a handle and 1/4 inch exposed at the pointed end.
Set up the grill for direct grilling and preheat to high.
When ready to cook, brush and oil the grill grate. Arrange the sates on the hot grate. Grill the sates until cooked to taste, 1 to 2 minutes per side for medium-rare, a little longer for medium.
To Make Singapore Cucumber Relish: Cut the cucumber into 1/4-inch dice. Place the cucumber, shallot, chile, rice vinegar and sugar in a mixing bowl and toss gently to mix. Season with salt and pepper to taste. The relish can be made up to 2 hours ahead.","['1 1/2 lbs rib eye steaks (about 1/2 inch thick) or 1 1/2 lbs sirloin steaks (about 1/2 inch thick)', '3 tablespoons light brown sugar', '2 tablespoons ground coriander', '1 tablespoon ground turmeric', '1 1/2 teaspoons ground cumin', '1 1/2 teaspoons fresh ground black pepper', '3 tablespoons asian fish sauce or 3 tablespoons soy sauce', '3 tablespoons vegetable oil, plus additional for grill grates', '4 bamboo skewers, water soaked for at least 30 minutes', 'salt', '2 kirby cucumbers or 1 medium cucumber, cut in half lengthwise and seeded', '1 shallots, minced (2 to 3 tablespoons) or 1 green onion, both white and green parts, trimmed and minced', '1 small hot red chili pepper, stemmed, seeded, and minced (such as a bird or cayenne pepper)', '2 tablespoons rice vinegar', '1 tablespoon sugar', 'coarse koscher salt or sea salt', 'fresh ground black pepper']"
Singapore City BBQ Ribs,"In a bowl, stir together light and dark soy sauces, crushed peppercorns, garlic, and 2 tablespoons orange juice. Separate ribs between each bone into individual ribs, and place in the marinade.
Cover, and set aside for at least 30 minutes. (If marinating much longer than 30 minutes, refrigerate.).
Transfer marinade to a large stockpot, and set ribs aside. To the stockpot add remaining 1 cup orange juice, water, cinnamon sticks, star anise, and sugar. Bring to a boil.
Meanwhile, heat oil in a large skillet over high heat. Carefully place ribs in oil, and fry for 2 minutes per side, or until edges are sealed.
Transfer to the stockpot, and boil, uncovered, for 15 minutes. Cover, and simmer for 1 hour, adding hard boiled eggs at this point, if using.","['2 tablespoons light soy sauce', '4 tablespoons dark soy sauce', '1 tablespoon crushed black peppercorns', '6 garlic cloves, peeled and crushed', '10 ounces orange juice, divided', '1 1/2 lbs pork spareribs', '1 cup orange juice', '1 cup water', '5 sticks cinnamon', '7 star anise', 'white sugar, to taste', 'peanut oil (for frying) or corn oil (for frying)', '3 hard-boiled eggs, peeled (optional)']"
Singapore Hawker Chili Crab,"Pull the main shell off the crab and discard it. Remove the gray gills and the soft insides. Cut the body in fourths and then cut between each leg. Crack the legs and claws with the back of the knife or a hammer and set aside.
In a large bowl, mix together ketchup, water, cornstarch, soy sauces and tamarind.
Heat skillet and the oil, stir in garlic and shallots. Fry the garlic and shallots for 1 to 2 minutes before adding the chili. Fry another 2 minutes. Add crab pieces and fry until they turn red, about 4 minutes.
Stir sauce mixture into the skillet until the crabs are well coated. Cover the skillet and let simmer on high heat, for 7 minutes or until the shells turn bright red.
Remove cover and stir in the lime juice. Stir in beaten egg until it is fully cooked. Turn the heat off and stir in green onions.
Serve with steamed or fried mantou (Chinese buns), French loaves, toasted sliced bread or plain white rice.","['1 lb whole dungeness crab', '5 tablespoons ketchup or 5 tablespoons tomato paste', '1 cup water', '2 tablespoons cornstarch', '2 tablespoons oyster sauce or 2 tablespoons indonesian soy sauce', '2 tablespoons dark soy sauce or 2 tablespoons regular soy sauce', '1 tablespoon tamarind paste', '5 tablespoons vegetable oil', '7 garlic cloves, crushed', '2 tablespoons shallots, minced', '10 red chili peppers, pounded with seeds', '3/4 teaspoon lemon juice', '1 egg, beaten', '4 green onions, minced']"
Singapore Sling,"Fill a glass to the rim with ice cubes.
Pour cherry brandy, grenadine, plymouth gin, soda water and sour mix into a shaker.
Fill the shaker with ice cubes and shake it until the shaker is very cold.
Strain into glass.
Garnish with a cocktail umbrella , a whole maraschino berry, a slice pineapple, a pineapple leaf, a pineapple spear, and one straw.","['1 1/2 ounces cherry brandy', '1/2 ounce grenadine', '1 ounce plymouth gin', '2 1/2 ounces soda water', '1 ounce sour mix', 'maraschino berries', 'pineapple']"
Singapore Chicken Wings,"in a large bowl, combine soy sauce, sugar, honey, garlic powder and dry mustard. add wings and toss to coat in marinade. cover, refrigerate for at least 1 hour.
preheat oven to 400*.
remove wings from marinade and divide on 2 greased bakings sheets and bake 30 minutes.
meanwhile, boil marinade in a saucepan over med-high heat until syrupy. remove wings from oven; reduce oven to 350. baste wings all over with reduced marinade. return wings to oven bake until glazed and a little crispy, about 30 minutes more. serve.","['2/3 cup soy sauce or 2/3 cup tamari', '1/4 cup light brown sugar', '1 tablespoon honey', '1 teaspoon garlic powder', '1 teaspoon dry mustard', '12 chicken wings, divided into wings and drumetts']"
Singapore Curry.,"Cut chicken into cubes.
melt margarine and add flour, stirring until smooth. Cook 5 minutes.
In the meantime, bring water to a boil in a seperate pot. once the water is boiling, add rice, oil, and salt. Cook until the liquid is absorbed.
Back to the curry! Add stock gradually to flour mixture, stirring w/ a wire wisk. Cook until the sauce thickens.
Add seasonings and chicken.
Cook a few minutes longer and you're all done!
To make it a full meal you can add an assortment of different vegetables. I think I am going to do snow peas, onion slices and broccoli but you can add whatever you like!","['15 lbs chicken, cooked', '1 lb margarine (to lighten it up) or 1 container margarine (to lighten it up)', '1 1/4 lbs flour', '5 quarts chicken stock', '1 teaspoon salt', '1/2 teaspoon white pepper', '2 ounces curry powder', '5 lbs rice', '3 ounces salt', '6 1/4 quarts boiling water', '3 tablespoons vegetable oil or 3 tablespoons preferred fat']"
Thai Chicken (Or Pork) Salad With Glass Noodles - Larb Woosen Ga,"Soak bean threads in water for at least 5 minutes, then use scissors to cut it a few times into 2-3 inch pieces. Boil in water for just 2 minutes, drain, place in bowl, drizzle a small amount of vegetable oil over noodles to prevent them sticking together, and set aside. Do this while the chicken (or pork) cooks.
To prepare khao koor: get a skillet fairly hot, and add 2 tablespoons of uncooked jasmine rice. Keep it moving until the rice starts to turn golden brown. Remove from the heat and allow to cool. Grind to a fairly coarse powder in a mortar and pestle or coffee grinder. The powder should retain some texture and not be too fine a powder.
In the same skillet, cook the chicken/pork with the garlic with a small amount of oil.
In a large mixing bowl, add shallots, cooked chicken (or pork), khao koor, ground Thai chile powder, chili flakes, fish sauce, and lime juice. Toss gently until mixed well.
Add bean thread noodles, spring onion, cilantro, and toss it together a little (not too much).
Transfer to a dish and top with a generous amount of whole fresh mint leaves.
If not using the noodles, serve over rice with a side of fresh veggies, like sliced cuccumber, sliced green cabbage, raw sugar snap peas, etc.","['1 (1 1/2 ounce) package bean thread noodles (Mung bean noodles)', '1/2 cup shallot, sliced finely (small red onions)', '1 lb ground chicken or 1 lb pork, cooked', '2 garlic cloves, chopped finely', '2 tablespoons uncooked jasmine rice (khao koor (see below)', '1/2 tablespoon ground thai chili powder (or cayenne will do)', '1 tablespoon red chili pepper flakes', '2 1/2 tablespoons fish sauce', '2 1/2 tablespoons lime juice', '1/4 cup spring onion, chopped', '1/4 cup fresh cilantro, chopped', '1/4 cup fresh mint leaves']"
Thai Stir-Fry Chicken and Vegetables,"Heat oil until hot, over medium-high heat (not smoking though). Add the garlic and ginger. Immediately, add the chicken. Cook, stirring constantly until cooked.
Add veggies and sauces, water and chili flakes and sugar (I always taste it before adding the sugar in case it’s not needed).
Continue to stir fry until the vegetables are cooked through but still somewhat firm.
Stir in handful of chopped coriander.
Garnish with a wedge or two of lime.","['assorted vegetables, broccoli, green onion, yellow onion, bok choy, etc (your choice, cut into bite sized pieces)', '1 lb chicken, cut in bite sized pieces', '1/4 cup fresh coriander, chopped', '3 garlic cloves, smashed with the side of a knife and chopped finely', '1 tablespoon ginger paste', '1 tablespoon chili flakes', '3 tablespoons vegetable oil', '1 tablespoon fish sauce', '2 tablespoons thai soy sauce', '2 tablespoons thai oyster sauce', '1/3 teaspoon sugar', '1/4 cup water', 'lime (for garnish)']"
Singapore Noodles,"1. Bring a large pot of salted water to a boil. Add pasta and cook for 8-10 minutes or until al dente. Drain.
2. In a deep skillet brown, chicken, pork and garlic in the oil over medium heat.
3. Reduce head to medium low and add the onion, carrots and water. Cover and steam for 5 minutes, stir in the celery and shrimp. Cover and steam for 2 minutes.
4. Mix in the bean sprouts, the curry powder and soy sauce. Stir together until blended and hot 4-5 minutes. Toss with the noodles.
5. Serve with hot pepper sauce and soy sauce.","['1 lb dry vermicelli', '2 boneless skinless chicken breasts, cut into strips', '2 pork chops, thinly sliced', '2 garlic cloves, crushed', '3 tablespoons vegetable oil', '1/2 onion, thinly sliced', '2 carrots, thinly sliced', '2 stalks celery, thinly sliced', '6 ounces frozen shrimp, thawed', '1 cup bean sprouts', '2 tablespoons soy sauce', '3 tablespoons curry powder', '1/4 cup water']"
Singapore Black Pepper Crab,"Clean the crab and cut into pieces. Lightly crack shells to allow sauce to be absorbed.
Heat oil in a large pan over high heat. Add in crab pieces and fry for 3 minutes Remove crab, set aside and drain off excess oil.
Heat the pan again and fry shallots, garlic and red chilli until fragrant, then add butter and ground black pepper.
Stir in the crab, soy sauce, oyster sauce, sugar and water. Simmer for 10 minutes on medium heat, until the crab is fully cooked.
Serve with sauce drizzled over.","['1 kg fresh crab', '5 tablespoons oil', '4 shallots, chopped', '4 garlic cloves, chopped', '1 red fresh chili pepper', '2 tablespoons butter', '2 tablespoons ground black pepper', '2 tablespoons dark soy sauce', '1 tablespoon oyster sauce', '1/2 teaspoon sugar', '200 ml water', '2 -3 sprigs fresh coriander (garnish)']"
Singapore Noodles,"Soak the noodles in a large pan or bowl with enough warm water to cover for 20 minutes or until they are soft and pliable. Drain in a colander, shaking well to remove excess water. Using kitchen shears, roughly cut the noodles into 6 to 8 inch long pieces.
In a small bowl, combine the broth, soy sauce and rice wine.
Heat a 14 in wok over high heat until a bead of water vaporizes within 1 to 2 seconds of contact. Swirl in 1 tbl of the oil, add the garlic, ginger, and pepper flakes, then, using a spatula, stir-fry 10 seconds or until the aromatics are fragrant.
Add the shrimp and stir-fry 1 minute or until the shrimp have just turned pink/orange but are not cooked through. Transfer the shrimp to a plate.
Swirl the remaining 2 tbl oil into the wok, add the bell peppers and stir fry 30 seconds or until the peppers are bright green. Add the curry powder and stir-fry 5 seconds or until the curry is fragrant.
Swirl the broth mixture into the wok, add the drained noodles, and stir-fry until they are completely coated in the curry mixture. Sprinkle on the salt,, sugar, and pepper and stir-fry 1 to 2 minutes, or until the noodles are just tender.
Add the shrimp and pork and stir-fry 1 to 2 minutes or until the shrimp are just cooked through and all the liquid has been absorbed by the noodles.
Stir in the scallions and serve.","['8 ounces thin rice stick noodles (vermicelli)', '1/2 cup low sodium chicken broth', '1 tablespoon soy sauce (to taste)', '1 tablespoon rice wine or 1 tablespoon dry sherry', '3 tablespoons peanut oil or 3 tablespoons vegetable oil', '1 tablespoon minced garlic', '1 tablespoon minced ginger', '1/4 teaspoon red pepper flakes', '4 ounces small shrimp, peeled and deveined', '1 cup thinly sliced green bell pepper', '1 tablespoon curry powder', '1/4 teaspoon salt, I omit', '3/4 teaspoon sugar', '1/8 teaspoon fresh ground black pepper', '4 ounces barbecued pork, julienned (about 1 cup)', '1 cup finely shredded scallion']"
Singapore Noodles,"Place noodles in large heatproof bowl, cover with boiling water, separate with fork, drain.
Heath oil in the wok, add brown onion, bacon and ginger, stir-fry for about 2 minutes or until onion softens and bacon is crisp. Add curry powder, stir-fry until fragrant.
Add noodles and remaining ingredients; stir-fry until hot.","['450 g fresh singapore noodles', '1 teaspoon peanut oil', '1 small brown onion, sliced finely', '2 slices bacon, rind removed and chopped finely', '3 cm piece fresh ginger, grated', '1 tablespoon mild curry powder', '3 cups shredded barbecued chicken', '6 green onions, sliced thinly', '1 1/2 tablespoons light soy sauce', '1/3 cup sweet sherry']"
Singapore Sweet and Sour Pork,"Arrange pork medallions on a cutting board and cover with a sheet of plastic wrap. Using a mallet or the back of a knife, pound the pork until each medallion is fairly flat, about 1/4 inch thick.
Cut each medallion into 1 inch square pieces. In a medium bowl, combine the salt, baking soda and water. Place the pork pieces in the bowl and turn to coat, remove and coat with the beaten egg.
Place the cornstarch in a large, resealable plastic bag. Place the pork pieces in the bag with the flour and shake the meat around until all the pieces are coated with the flour.
Heat the oil in a large skillet or wok over medium high heat. Place the pork pieces in the oil and fry for 5 to 10 minutes, or until golden brown. Remove the pork from the oil and set aside.
In the same skillet over medium high heat, combine the green bell pepper, red chile pepper, pineapple, onion and tomato and saute for 5 minutes.
To make the sauce:.
In a separate small bowl, combine the white sugar, salt, cornstarch, vinegar, ketchup, plum sauce and water. Mix well and pour this into the skillet with the vegetables.
Reduce heat to low and let simmer for 5 to 10 minutes, allowing the gravy to thicken. Return the pork pieces to the skillet, mix all together well.
Serve over rice.","['1 lb pork medallions', '1 teaspoon salt', '1/2 teaspoon baking soda', '1 tablespoon water', '1 egg, beaten', '1/4 cup cornstarch', '2 tablespoons vegetable oil', '1 green bell pepper, chopped', '1 red chili pepper, chopped', '1/2 cup crushed pineapple', '1 onion, chopped', '1 tomatoes, chopped', '4 tablespoons white sugar', '1/2 teaspoon salt', '1 1/2 tablespoons cornstarch', '4 tablespoons white vinegar', '3 tablespoons ketchup', '2 tablespoons plum sauce', '5 tablespoons water']"
Singapore Fried Rice and Veggies,"Heat the oil and butter in a frying pan and fry the carrots and onions for 1-2 minutes.
Move aside in the frying pan and add in the beaten egg, scramble until cooked.
Stir in rice and add salt and sugar to taste.
Combine in the fried onions and carrots.
Stir fry until all combined.
Serve hot with additional soy sauce as needed.","['2 cups rice (prepare day ahead and keep in fridge until ready)', '2 tablespoons chopped carrots', '2 tablespoons onions', '1 tablespoon vegetable oil', '1 teaspoon butter', '1 egg', '2 tablespoons soy sauce', 'salt', 'sugar', 'pepper']"
Fried Singapore Noodles,"Soak rice noodles in water for about 13mins.
Drain well & pat dry with paper towel.
Heat wok or large skillet, then add half oil (1TBS of each).
When oil is hot add the noodles and salt.
Stir-fry for 4mins.
Transfer to a warm serving dish and keep warm.
Heat remaining oil & add the prawn, pork, pepper, sugar, & curry powder.
Stir fry for 1 minute.
Return the noodles to the pan & stir fry with the Thai fishcakes for 2 minutes.
Stir in the soy sauce & serve immediately.","['6 ounces rice noodles', '2 tablespoons peanut oil', '2 tablespoons chili oil', '1/2 teaspoon salt', '3/4 cup prawns (cooked)', '6 ounces pork (cooked & cut into matchsticks)', '1 bell pepper (seeded and cut into mtchsticks)', '1/2 teaspoon sugar', '2 teaspoons curry powder', '3 teaspoons dark soy sauce']"
Singapore Velvet Shrimp,"Make sauce: combine all the ingredients in a bowl; mix well and set aside.
Place a stir-fry pan over high heat until hot; add oil, swirling to coat all sides.
Add in lemongrass, garlic, and ginger; cook, stirring, until fragrant, about 15 seconds.
Add in yellow onion, red bell pepper, and green onion pieces and stir-fry until the onion slices begin to brown on the edges, about 2 minutes.
Add in the shrimp and stir-fry until they begin to curl and turn pink, 1 ½ to 2 minutes.
Add in the sauce and cook, stirring, until the sauce boils and thickens slightly, about 30 seconds.
Add in the sesame oil and toss to coat the shrimp evenly.
Transfer to a plate, sprinkle with the chopped green onion, and serve.","['1/2 cup ketchup', '1/2 cup water', '2 tablespoons sweet chili sauce', '1 1/2 tablespoons curry powder', '1 tablespoon vegetable oil', '1 stalk lemongrass, stalk bottom 4 inches only, minced', '2 garlic cloves, minced', '1 teaspoon minced ginger', '1/2 yellow onion, thinly sliced', '1/2 red bell pepper, thinly sliced', '3 green onions (2 cut into 2-inch pieces, 1 chopped)', '1 lb medium raw shrimp, peeled and deveined', '1 tablespoon sesame oil']"
Char Kway Teow (Singapore Chow Fun Noodle Dish),"Rinse and drain the mung bean sprouts. Peel and chop the onion. Peel the carrots and cut on the diagonal into 1/4-inch pieces. Shred the cabbage. Cut the chili peppers in half lengthwise, remove the seeds and finely chop. Peel and finely chop the garlic.
Cut the barbequed pork (if using) into thin pieces. Cut the sausages (again, if using) on the diagonal into 1/2-inch pieces. Steam the sausages for about 10 minutes. Soak the shrimp in lightly salted warm water for 5 minutes.
In a small bowl, mix the oyster sauce, light and dark soy sauce and brown sugar. Set aside.
Heat 1 tablespoon oil in a wok over medium heat. Add eggs and scramble. Remove. Heat 2 tablespoons oil in a wok over medium-high heat. Add onions and carrots and stir-fry until the onion is softened. Add the chiles and garlic and stir-fry until fragrant. Add the shrimp and stir-fry unti they turn pink. Add the sausages and the barbequed pork. Stir in the cabbage. Remove and clean out the wok.
Heat 1 tablespoon oil in a wok over medium heat. Add the eggs and lightly scramble. Clean out the wok.
Heat 2 tablespoons oil. Add the rice noodles and cook for 2 minutes, stirring continuously. Push up to the sides and add the sauce in the middle. Heat to boiling, then mix in with the noodles. Add the other ingredients back in the pan. Stir in the mung bean sprouts. Cook for 30 seconds then stir in the egg. Continue cooking, adding a bit of water or chicken broth if the mixture gets too dry. Season with the salt and pepper. Serve hot, garnished with the cilantro.","['1 cup mung bean sprouts', '1 yellow onion', '2 large carrots', '1 cup shredded napa cabbage', '3 -4 fresh chili peppers (to taste)', '2 garlic cloves', '2 Chinese sausage (lop cheong) (optional)', '6 ounces peeled and deveined fresh medium shrimp', '1 lb fresh rice noodles (or dried rice noodles, prepared according to package directions)', '2 tablespoons oyster sauce', '1 tablespoon soy sauce', '1 tablespoon dark soy sauce', '1 teaspoon brown sugar', '3 tablespoons oil, for stir-frying', '3 eggs, lightly beaten', 'salt & freshly ground black pepper, to taste', '1 tablespoon chopped fresh cilantro leaves']"
Singapore Noodles,"Soak mushrooms in hot water about 15 minutes.
Slice caps thinly discard stems.
Soak rice noodles 10 minutes in very hot water to cover.
Drain noodles well and spread on a kitchen towel to dry.
Combine broth, soy sauce, chili paste,salt and sugar,set aside.
In a small saucepan, sauté garlic and curry powder in 1 tablespoons of the oil over medium heat for 20 seconds.
Add broth mixture and simmer, covered, for 5 minutes. Add oyster sauce; set aside.
In a large sauté pan or wok, heat another 1 tbs oil over high heat.
Add remaining garlic and ginger, fry until garlic starts to turn golden.
Add celery, onion, pepper, scallion, shiitakes and sprouts; stir-fry for a few minutes.
Remove vegetables from pan and set aside.
Heat the remaining 1 tablespoons of oil over high heat.
Stir-fry shrimp until barely cooked 1 or 2 minutes.
Add pork; toss well.
Add noodles, vegetables, and sauce mixture. Mix thoroughly to coat noodles with the sauce.
Serve.","['4 dried shiitake mushrooms', '6 ounces rice vermicelli', '3 tablespoons vegetable oil', '4 teaspoons hot curry powder', '2 garlic cloves, minced, divided', '1/2 cup chicken broth', '2 tablespoons soy sauce', '1 teaspoon chili paste', '2 teaspoons sugar', '1/2 teaspoon kosher salt', '1 1/2 tablespoons oyster sauce', '1 tablespoon minced ginger', '1/2 cup very thinly sliced celery', '1/2 cup thinly sliced onion', '1/2 cup very thinly sliced bell pepper', '1 cup bean sprouts, rinsed and drained', '4 scallions, sliced into 2-inch pieces', '1/2 lb raw small shrimp', '6 ounces Chinese barbecue pork, in 2-inch slivers']"
Singapore Hot Spicy Sesame Noodles,"Cook pasta to al dente, then cold shock it by running it under cold water in colander.
Drain the pasta very well. Set aside.
Prepare the ""Singapore Sauce"" by combining all the ingredients in a small bowl.
In the bottom of a large bowl, whisk together soy, peanut butter, vinegar, oil, sesame oil and 2 Tablespoons of Singapore Sauce.
Add noodles and vegetables and toss to combine the noodles and coat them evenly with sauce.
Sprinkle scallions and sesame seeds throughout the salad.
*Shredded cabbage, mixed cabbage & carrot mix found in your produce dept.* **The fresh bean sprouts are also found in produce dept.** ***To toast the sesame seeds place them in a non-stick pan on medium-low heat & watch them closely - about 3 minutes***.
Serve and enjoy!","['2 tablespoons ketchup', '2 1/2 teaspoons brown sugar', '1 1/2 teaspoons chopped cilantro', '1 teaspoon cornstarch', '3/4 teaspoon garlic powder with parsley', '1/4 teaspoon red pepper flakes, crushed', '1/2 lb spaghetti or 1/2 lb linguine', '1/4 cup tamari soy sauce', '1/4 cup chunky peanut butter, softened in microwave for 15 seconds on high', '2 tablespoons rice wine vinegar or 2 tablespoons cider vinegar', '1 tablespoon dark sesame oil', '2 cups shredded cabbage and carrot coleslaw mix (*)', '1 cup bean sprouts (**)', '4 scallions, chopped on an angle', '2 tablespoons toasted sesame seeds (***)']"
Fettuccine Verde,"Put water for pasta on to boil.
Melt butter in a large saucepan.
Sautee garlic and onions until soft.
Add cream, salt, pepper and nutmeg.
Leave it sit on low-medium heat. Stir only when bubbles appear and then let it sit again. Don't let it boil! It just needs to thicken slighly.
By now the water should be boiling, so cook the pasta according to the package.
When the pasta is cooked and drained, turn off the heat under the sauce.
Add the pasta to the sauce or the sauce to the pasta, whichever container is suitable to toss everything together.
Add the parmesean, one tablespoon at a time and toss.
If you wanted, now you could add cooked chicken or salmon and toss either into it also.","['250 g fettuccine pasta (I like the fresh kind)', '1 1/2 tablespoons butter or 1 1/2 tablespoons margarine', '3 garlic cloves (minced)', '4 -5 green onions (chopped)', '1 cup cream (needs some fat in it) or 1 cup 2% low-fat milk (needs some fat in it)', 'fresh black pepper (to taste)', 'salt (just a pinch)', '1 pinch nutmeg', '3 tablespoons kraft parmesan cheese']"
Singapore Chilli Crabs,"Pound garlic and chilli.
Heat the oil in a wok, and fry the garlic and chilli till fragrant.
Add in crab and stir-fry for a minute or two.
Mix the tomato ketchup, salt, sugar, soya bean paste, water and corn flour to make the sauce.
Add the sauce mixture to the crabs, and stir well for two minutes.
Cover the wok and simmer over high heat for five to seven minutes till the crab shell turns bright red.
Remove cover, and add in the lime juice.
Garnish with cilantro leaves and chilli slices.","['1 lb crab', '8 fresh red chilies', '7 garlic cloves', '3 tablespoons cooking oil', 'cilantro, for garnishing', '3 tablespoons tomato ketchup', '1 tablespoon sugar, to taste', 'salt, according to taste', '1 tablespoon soybean paste', '1 cup water', '1 tablespoon cornflour', '1 teaspoon lime juice']"
Singapore Sling,"Fill a shaker with ice.
Add ingredients to shaker and shake for about 1 minute. Strain over ice into a tall glass.","['6 tablespoons pineapple juice', '2 tablespoons gin', '2 tablespoons fresh lime juice', '1 tablespoon cherry heering', '1 tablespoon grenadine', '1/2 tablespoon benedictine', '2 dashes triple sec or 2 dashes Grand Marnier', '3 dashes Angostura bitters']"
Grilled Lemongrass Chicken Chop With Air Fryer,"Dry chicken
Dry cleaned boneless chicken whole legs with kitchen towels.
Pierce chicken whole legs with holes using a fork.
blend ingredients for marinade
Combine ingredients for marinade in blender, blend until fine.
marinate overnight
Pour marinade over chicken whole legs, coat each well with marinade. Keep refrigerated to marinate for at least 5 hours or overnight. (Reminder: Marinate longer for better taste.)
coat chicken with oil
Set aside marinated chicken at room temperature for 30 minutes before grilling. Transfer marinated chicken to a large pan (discard excess marinade), coat both sides with cooking oil.
coat wire rack with oil
Put wire rack into air fryer basket, coat with cooking oil.
Arrange chicken on wire rack
Arrange chicken whole legs on wire rack (skin-side down).
bake at 180°C for 10 minutes
Put into air fryer, bake at 180°C for 10 minutes.
turn over, bake at 180°C for 10 minutes
Turn the chicken whole legs over, bake again at 180°C for 10 minutes.
Bake at 200°C for 5 minutes
Bake at 200°C for another 5 minutes.
Cut into small pieces
Cut chicken chops into small pieces.","['4 pcs boneless chicken whole legs', '6 stalks lemongrass', '1 sprig curry leaf', '15 g garlic', '20 g shallot', '40 g onion', '½ tsp ground pepper', '1 tsp curry powder', '2 ¾ tsps fine salt', '3 ½ tbsps fine sugar', '200 g water', '2 tbsps cooking oil']"
Grilled Curry Chicken Chop With Air Fryer,"Dry chicken
Dry cleaned boneless chicken whole legs with kitchen towels.
Pierce chicken whole legs with holes using a fork.
marinate overnight
Add in salt, sugar and curry powder, coat each well with marinade. Keep refrigerated to marinate for at least 5 hours or overnight. (Reminder: Marinate the wings longer for better taste.)
coat chicken with oil
Set aside the marinated chicken whole legs at room temperature for 30 minutes before grilling. Coat both sides of chicken whole legs with cooking oil.
coat wire rack with oil
Put wire rack into air fryer basket, coat with cooking oil.
Arrange chicken on wire rack
Arrange chicken whole legs on wire rack (skin-side down).
bake at 180°C for 10 minutes
Put into air fryer, bake at 180°C for 10 minutes.
turn over, bake at 180°C for 10 minutes
Turn the chicken whole legs over, bake again at 180°C for 10 minutes
Bake at 200°C for 5 minutes
Bake at 200°C for another 5 minutes.
Cut into small pieces
Cut chicken into smaller pieces.","['4 pcs boneless chicken whole legs', '1 tsp fine salt', '4 tsps fine sugar', '5½ tsps curry powder', '2 tbsps cooking oil']"
